[2026-07-30T16:04:59.958Z] GET file:///Users/yusik/IdeaProjects/jdgrid/index.html → 200 (30ms, 30057B)
[2026-07-30T16:05:00.006Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → pending (?ms, ?B)
[2026-07-30T16:05:00.501Z] GET file:///Users/yusik/IdeaProjects/jdgrid/about/index.html → 200 (1ms, 9514B)
[2026-07-30T16:05:00.514Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (13ms, -522B)
[2026-07-30T16:05:00.594Z] GET file:///Users/yusik/IdeaProjects/jdgrid/privacy/index.html → 200 (1ms, 10753B)
[2026-07-30T16:05:00.598Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (10ms, -522B)
[2026-07-30T16:05:00.679Z] GET file:///Users/yusik/IdeaProjects/jdgrid/terms/index.html → 200 (1ms, 10040B)
[2026-07-30T16:05:00.682Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (11ms, -522B)
[2026-07-30T16:05:00.895Z] GET file:///Users/yusik/IdeaProjects/jdgrid/index.html → 200 (1ms, 30057B)
[2026-07-30T16:05:00.900Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (16ms, -522B)
[2026-07-30T16:05:01.001Z] GET file:///Users/yusik/IdeaProjects/jdgrid/about/index.html → 200 (1ms, 9514B)
[2026-07-30T16:05:01.007Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (10ms, -522B)
[2026-07-30T16:05:01.092Z] GET file:///Users/yusik/IdeaProjects/jdgrid/privacy/index.html → 200 (?ms, 10753B)
[2026-07-30T16:05:01.098Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (7ms, -522B)
[2026-07-30T16:05:01.171Z] GET file:///Users/yusik/IdeaProjects/jdgrid/terms/index.html → 200 (1ms, 10040B)
[2026-07-30T16:05:01.176Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (9ms, -522B)
[2026-07-30T16:05:09.878Z] GET file:///Users/yusik/IdeaProjects/jdgrid/index.html → 200 (1ms, 30057B)
[2026-07-30T16:05:09.880Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (10ms, -522B)
[2026-07-30T16:05:09.954Z] GET file:///Users/yusik/IdeaProjects/jdgrid/about/index.html → 200 (1ms, 9514B)
[2026-07-30T16:05:09.958Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (10ms, -522B)
[2026-07-30T16:05:10.030Z] GET file:///Users/yusik/IdeaProjects/jdgrid/privacy/index.html → 200 (1ms, 10753B)
[2026-07-30T16:05:10.034Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (9ms, -522B)
[2026-07-30T16:05:10.106Z] GET file:///Users/yusik/IdeaProjects/jdgrid/terms/index.html → 200 (1ms, 10040B)
[2026-07-30T16:05:10.109Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (9ms, -522B)
[2026-07-30T16:05:10.219Z] GET file:///Users/yusik/IdeaProjects/jdgrid/index.html → 200 (?ms, 30057B)
[2026-07-30T16:05:10.223Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (11ms, -522B)
[2026-07-30T16:05:10.307Z] GET file:///Users/yusik/IdeaProjects/jdgrid/about/index.html → 200 (1ms, 9514B)
[2026-07-30T16:05:10.311Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (10ms, -522B)
[2026-07-30T16:05:10.385Z] GET file:///Users/yusik/IdeaProjects/jdgrid/privacy/index.html → 200 (1ms, 10753B)
[2026-07-30T16:05:10.388Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (11ms, -522B)
[2026-07-30T16:05:10.457Z] GET file:///Users/yusik/IdeaProjects/jdgrid/terms/index.html → 200 (1ms, 10040B)
[2026-07-30T16:05:10.461Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (13ms, -522B)
[2026-07-30T16:05:22.228Z] GET file:///Users/yusik/IdeaProjects/jdgrid/about/index.html → 200 (?ms, 9514B)
[2026-07-30T16:05:22.233Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (7ms, -522B)
[2026-07-30T16:05:22.613Z] GET file:///Users/yusik/IdeaProjects/jdgrid/about/index.html → 200 (1ms, 9514B)
[2026-07-30T16:05:22.616Z] GET https://www.googletagmanager.com/gtag/js?id=G-SXG67JYJVK → 200 (10ms, -522B)
